	All Respondents	Young men	Young women	Young men, no degree and not currently enrolled	Young men, college degree	Relational/trusting	Relational/distrusting	Self-driven/trusting	Self-driven/distrusting
Don't know 	7	5	7	7	3	5%	7%	6%	4%
Q14_2. State governments									
A lot	19	25	21	22	29	18%	34%	25%	33%
Somewhat	33	33	33	31	35	33%	26%	35%	34%
A little	24	22	23	23	21	29%	19%	21%	12%
Not at all	16	14	15	17	11	14%	15%	14%	16%
Don't know 	7	6	8	7	4	6%	7%	5%	5%
Q14_3. Accrediting agencies that oversee colleges and universities									
A lot	23	23	20	20	27	18%	30%	24%	26%
Somewhat	38	43	38	41	45	47%	37%	42%	44%
A little	21	17	23	17	17	16%	16%	19%	16%
Not at all	11	9	10	11	7	10%	11%	9%	9%
Don't know 	8	7	9	10	4	10%	7%	6%	5%
Q14_4. Philanthropic or non-profit organizations									
A lot	23	22	22	19	25	20%	27%	21%	27%
Somewhat	37	39	35	39	40	40%	49%	36%	43%
A little	21	21	23	21	22	21%	12%	26%	16%
Not at all	11	10	10	11	8	10%	6%	12%	8%
Don't know 	9	7	10	9	5	11%	7%	6%	6%
Q14_5. College and university Presidents and Boards of Trustees									
A lot	22	25	25	20	30	19%	31%	24%	32%
Somewhat	37	39	36	37	40	38%	30%	40%	41%
A little	21	21	18	24	16	25%	25%	20%	11%
Not at all	26	11	13	13	10	12%	10%	12%	11%
Don't know 	8	5	8	6	4	6%	4%	5%	5%
Q14_6. College and university professors and faculty									
A lot	27	30	31	26	34	28%	41%	28%	35%
Somewhat	39	38	38	37	40	36%	35%	39%	42%
A little	17	18	18	21	15	20%	17%	19%	13%
Not at all	11	9	7	10	8	10%	7%	10%	5%
Don't know 	6	5	5	6	3	6%	0%	5%	5%
Q14_7. Community-based organizations									
A lot	24	29	25	27	30	26%	33%	27%	34%
Somewhat	40	44	40	44	44	49%	51%	41%	39%
A little	20	17	21	16	18	15%	9%	21%	16%
Not at all	8	6	7	6	5	4%	4%	7%	6%
Don't know 	7	5	6	7	3	5%	2%	5%	6%
Q14_8. Employers and industry coalitions									
A lot	24	24	21	20	28	18%	25%	26%	33%
Somewhat	40	41	40	39	43	40%	42%	40%	46%
A little	20	20	18	23	16	26%	26%	20%	6%
Not at all	9	9	14	10	8	10%	6%	8%	10%
Don't know 	7	6	7	7	4	7%	2%	6%	5%
